Run,Gen,Rule,Fitness,anchoring_bias,attentional_bias,cognitive_dissonance,confirmation_bias,conformity_bias,egocentric_bias,recency_bias
0,2,( exec-two-species (( cognitive-dissonance  ) ) (( attentional-bias  ) )  ) ,0.355022548,0,1,1,0,0,0,0
0,2,( exec-homogenous (( egocentric-bias  ) )  ) ,0.381971717,0,0,0,0,0,1,0
0,2,( exec-homogenous (( attentional-bias  ) )  ) ,0.386395013,0,1,0,0,0,0,0
0,2,( exec-homogenous (( egocentric-bias  ) )  ) ,0.373859614,0,0,0,0,0,1,0
0,2,( exec-homogenous (( egocentric-bias  ) )  ) ,0.356756789,0,0,0,0,0,1,0
0,2,( exec-homogenous (( egocentric-bias  ) )  ) ,0.369314709,0,0,0,0,0,1,0
0,2,( exec-homogenous (( egocentric-bias  ) )  ) ,0.368488243,0,0,0,0,0,1,0
0,2,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.375316733,0,0,1,0,0,0,0
0,3,( exec-homogenous (( egocentric-bias  ) )  ) ,0.388793387,0,0,0,0,0,1,0
0,3,( exec-homogenous (( attentional-bias  ) )  ) ,0.405205172,0,1,0,0,0,0,0
0,3,( exec-homogenous (( attentional-bias  ) )  ) ,0.376134984,0,1,0,0,0,0,0
0,3,( exec-homogenous (( egocentric-bias  ) )  ) ,0.390578417,0,0,0,0,0,1,0
0,3,( exec-homogenous (( attentional-bias  ) )  ) ,0.371041845,0,1,0,0,0,0,0
0,3,( exec-homogenous (( egocentric-bias  ) )  ) ,0.382690311,0,0,0,0,0,1,0
0,3,( exec-homogenous (( attentional-bias  ) )  ) ,0.380878593,0,1,0,0,0,0,0
0,3,( exec-homogenous (( egocentric-bias  ) )  ) ,0.396726971,0,0,0,0,0,1,0
0,3,( exec-homogenous (( egocentric-bias  ) )  ) ,0.379351006,0,0,0,0,0,1,0
0,3,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.395407947,0,0,1,0,0,0,0
0,3,( exec-homogenous (( egocentric-bias  ) )  ) ,0.383230264,0,0,0,0,0,1,0
0,3,( exec-homogenous (( egocentric-bias  ) )  ) ,0.366461802,0,0,0,0,0,1,0
0,3,( exec-homogenous (( egocentric-bias  ) )  ) ,0.406939231,0,0,0,0,0,1,0
0,3,( exec-two-species (( attentional-bias  ) ) (( cognitive-dissonance  ) )  ) ,0.398264468,0,1,1,0,0,0,0
0,3,( exec-homogenous (( egocentric-bias  ) )  ) ,0.375661747,0,0,0,0,0,1,0
0,3,( exec-homogenous (( egocentric-bias  ) )  ) ,0.375930039,0,0,0,0,0,1,0
0,3,( exec-homogenous (( egocentric-bias  ) )  ) ,0.374679029,0,0,0,0,0,1,0
0,3,( exec-homogenous (( egocentric-bias  ) )  ) ,0.396373697,0,0,0,0,0,1,0
0,3,( exec-homogenous (( egocentric-bias  ) )  ) ,0.364543113,0,0,0,0,0,1,0
0,3,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.4208978,0,0,1,0,0,0,0
0,4,( exec-two-species (( attentional-bias  ) ) (( cognitive-dissonance  ) )  ) ,0.393002665,0,1,1,0,0,0,0
0,4,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.414816926,0,0,1,0,0,0,0
0,4,( exec-homogenous (( egocentric-bias  ) )  ) ,0.371384859,0,0,0,0,0,1,0
0,4,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.388503347,0,0,1,0,0,0,0
0,4,( exec-homogenous (( egocentric-bias  ) )  ) ,0.380673753,0,0,0,0,0,1,0
0,4,( exec-homogenous (( attentional-bias  ) )  ) ,0.335698436,0,1,0,0,0,0,0
0,4,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.365987127,0,0,1,0,0,0,0
0,4,( exec-homogenous (( egocentric-bias  ) )  ) ,0.374876196,0,0,0,0,0,1,0
0,4,( exec-homogenous (( egocentric-bias  ) )  ) ,0.380811225,0,0,0,0,0,1,0
0,4,( exec-homogenous (( egocentric-bias  ) )  ) ,0.386485062,0,0,0,0,0,1,0
0,4,( exec-homogenous (( conformity-bias  ) )  ) ,8.05E-16,0,0,0,0,1,0,0
0,4,( exec-homogenous (( egocentric-bias  ) )  ) ,0.370838394,0,0,0,0,0,1,0
0,4,( exec-homogenous (( pick_from_list (( enlist (( pick_from_list (( enlist (( conformity-bias  ) ) (( attentional-bias  ) )  ) )  ) ) (( conformity-bias  ) )  ) )  ) )  ) ,5.01E-11,0,1,0,0,2,0,0
0,4,( exec-homogenous (( egocentric-bias  ) )  ) ,0.377600065,0,0,0,0,0,1,0
0,4,( exec-homogenous (( egocentric-bias  ) )  ) ,0.366048576,0,0,0,0,0,1,0
0,4,( exec-homogenous (( egocentric-bias  ) )  ) ,0.361334098,0,0,0,0,0,1,0
0,4,( exec-homogenous (( egocentric-bias  ) )  ) ,0.389403265,0,0,0,0,0,1,0
0,4,( exec-homogenous (( egocentric-bias  ) )  ) ,0.372238095,0,0,0,0,0,1,0
0,4,( exec-homogenous (( confirmation-bias  ) )  ) ,3.19E-16,0,0,0,1,0,0,0
0,4,( exec-homogenous (( egocentric-bias  ) )  ) ,0.366546242,0,0,0,0,0,1,0
0,5,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.379207568,0,0,1,0,0,0,0
0,5,( exec-homogenous (( egocentric-bias  ) )  ) ,0.401722248,0,0,0,0,0,1,0
0,5,( exec-homogenous (( egocentric-bias  ) )  ) ,0.363418537,0,0,0,0,0,1,0
0,5,( exec-homogenous (( egocentric-bias  ) )  ) ,0.355793959,0,0,0,0,0,1,0
0,5,( exec-homogenous (( egocentric-bias  ) )  ) ,0.367103362,0,0,0,0,0,1,0
0,5,( exec-homogenous (( egocentric-bias  ) )  ) ,0.382339938,0,0,0,0,0,1,0
0,5,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.371806047,0,0,1,0,0,0,0
0,5,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.361583667,0,0,1,0,0,0,0
0,5,( exec-homogenous (( egocentric-bias  ) )  ) ,0.404795767,0,0,0,0,0,1,0
0,5,( exec-homogenous (( anchoring-bias  ) )  ) ,6.66E-16,1,0,0,0,0,0,0
0,5,( exec-homogenous (( cognitive-dissonance  ) )  ) ,0.365827397,0,0,1,0,0,0,0
0,5,( exec-two-species (( attentional-bias  ) ) (( egocentric-bias  ) )  ) ,0.397432979,0,1,0,0,0,1,0
